Tie Id,Match Id,Date,Draw Bracket Type,Draw Bracket Value,Draw Gender,Draw Name,Draw Size,Draw Team Type,Draw Type,Id Type,Loser 1 City,Loser 1 College,Loser 1 Country,Loser 1 Dob,Loser 1 Gender,Loser 1 Name,Loser 1 State,Loser 1 Third Party Id,Loser 2 City,Loser 2 College,Loser 2 Country,Loser 2 Dob,Loser 2 Gender,Loser 2 Name,Loser 2 State,Loser 2 Third Party Id,Outcome,Score,Tournament City,Tournament Country,Tournament Country Code,Tournament End Date,Tournament Event Category,Tournament Event Grade,Tournament Event Type,Tournament Host,Tournament Import Source,Tournament Location Type,Tournament Name,Tournament Sanction Body,Tournament Start Date,Tournament State,Tournament Surface,Tournament Url,Winner 1 City,Winner 1 College,Winner 1 Country,Winner 1 Dob,Winner 1 Gender,Winner 1 Name,Winner 1 State,Winner 1 Third Party Id,Winner 2 City,Winner 2 College,Winner 2 Country,Winner 2 Dob,Winner 2 Gender,Winner 2 Name,Winner 2 State,Winner 2 Third Party Id
00be14e6-9662-4d5b-a115-bf43975b62ce,cf706827-3b6c-4165-9dc0-4778e47d6c54,2025-09-16,Age,Open,Female,Match 1,,Singles,Quarter Finals,Fedcup,,,"China, P.R.",,F,"Yuan, Yue",,7803c673-5d58-4dbb-b0ee-3ff5e9327c40,,,,,,,,,,"4-6, 7-5, 7-5;",Shenzhen,"China, P.R.",CHN,09/21/2025,Pro Circuit,,Team Match,Shenzhen Bay Sports Centre Arena - Shenzhen,,Outdoor,"Finals - Italy vs China, P.R.",ITF,09/16/2025,,,https://www.billiejeankingcup.com/en/tie/00be14e6-9662-4d5b-a115-bf43975b62ce,,,Italy,,F,"Cocciaretto, Elisabetta",,585a974d-7103-4168-8d63-690fd8dc9698,,,,,,,,
00be14e6-9662-4d5b-a115-bf43975b62ce,ebcdec4a-4aed-4c77-9c2d-d1507a7cf9f9,2025-09-16,Age,Open,Female,Match 2,,Singles,Quarter Finals,Fedcup,,,"China, P.R.",,F,"Wang, Xinyu",,5518d505-8aaf-4818-963e-fe72e079ecdc,,,,,,,,,,"4-6, 7-6(4), 6-4;",Shenzhen,"China, P.R.",CHN,09/21/2025,Pro Circuit,,Team Match,Shenzhen Bay Sports Centre Arena - Shenzhen,,Outdoor,"Finals - Italy vs China, P.R.",ITF,09/16/2025,,,https://www.billiejeankingcup.com/en/tie/00be14e6-9662-4d5b-a115-bf43975b62ce,,,Italy,,F,"Paolini, Jasmine",,cdf10463-8f6b-461b-9565-529653648dbe,,,,,,,,
e478ae1f-a53d-4fd8-b650-6836b75fe7db,16d1fb69-23ad-406f-b7c8-cb665dec8f10,2025-09-17,Age,Open,Female,Match 1,,Singles,Quarter Finals,Fedcup,,,Spain,,F,"Bouzas Maneiro, Jessica",,4f500713-5aad-4e92-86f9-6c936303433c,,,,,,,,,,"7-6(3), 6-2;",Shenzhen,"China, P.R.",CHN,09/21/2025,Pro Circuit,,Team Match,Shenzhen Bay Sports Centre Arena - Shenzhen,,Outdoor,Finals - Spain vs Ukraine,ITF,09/16/2025,,,https://www.billiejeankingcup.com/en/tie/e478ae1f-a53d-4fd8-b650-6836b75fe7db,,,Ukraine,,F,"Kostyuk, Marta",,2ed92037-ea71-4bc9-80e1-c4b93a8ef554,,,,,,,,
e478ae1f-a53d-4fd8-b650-6836b75fe7db,f49590fd-5285-4f29-a948-befe7134da12,2025-09-17,Age,Open,Female,Match 2,,Singles,Quarter Finals,Fedcup,,,Spain,,F,"Badosa, Paula",,7a56256b-e630-474a-8a42-cbeb77dd0481,,,,,,,,,,"5-7, 6-2, 7-5;",Shenzhen,"China, P.R.",CHN,09/21/2025,Pro Circuit,,Team Match,Shenzhen Bay Sports Centre Arena - Shenzhen,,Outdoor,Finals - Spain vs Ukraine,ITF,09/16/2025,,,https://www.billiejeankingcup.com/en/tie/e478ae1f-a53d-4fd8-b650-6836b75fe7db,,,Ukraine,,F,"Svitolina, Elina",,bf60961d-90ab-4191-be3f-f34738e76049,,,,,,,,
70a40cbf-ded1-4f4f-9dd7-4d2b0e8d0665,4043f7d0-4cd9-4a8e-86d1-5217c6ec4800,2025-09-18,Age,Open,Female,Match 1,,Singles,Quarter Finals,Fedcup,,,Kazakhstan,,F,"Putintseva, Yulia",,6633323f-d6ed-4c7e-ad25-ca6238b38b33,,,,,,,,,,"7-5, 2-6, 7-6(6);",Shenzhen,"China, P.R.",CHN,09/21/2025,Pro Circuit,,Team Match,Shenzhen Bay Sports Centre Arena - Shenzhen,,Outdoor,Finals - Kazakhstan vs USA,ITF,09/16/2025,,,https://www.billiejeankingcup.com/en/tie/70a40cbf-ded1-4f4f-9dd7-4d2b0e8d0665,,,USA,,F,"Navarro, Emma",,99ca7017-6e61-447d-815c-853a2f2462f7,,,,,,,,
70a40cbf-ded1-4f4f-9dd7-4d2b0e8d0665,cb145380-45a8-46f6-a90d-c975aac7c3b4,2025-09-18,Age,Open,Female,Match 3,,Doubles,Quarter Finals,Fedcup,,,Kazakhstan,,F,"Rybakina, Elena",,0a6de07d-d3c2-45cb-99ac-1cb31ab3e6e2,,,Kazakhstan,,F,"Putintseva, Yulia",,6633323f-d6ed-4c7e-ad25-ca6238b38b33,,"6-2, 7-6(1);",Shenzhen,"China, P.R.",CHN,09/21/2025,Pro Circuit,,Team Match,Shenzhen Bay Sports Centre Arena - Shenzhen,,Outdoor,Finals - Kazakhstan vs USA,ITF,09/16/2025,,,https://www.billiejeankingcup.com/en/tie/70a40cbf-ded1-4f4f-9dd7-4d2b0e8d0665,,,USA,,F,"Pegula, Jessica",,2ee83e7a-640d-4eda-9d65-c075afdec496,,,USA,,F,"Townsend, Taylor",,50a3fed0-6fd6-4fd5-a343-f0791d23c9e2
70a40cbf-ded1-4f4f-9dd7-4d2b0e8d0665,d672fd96-26f2-48f8-b310-f46c009cfe1e,2025-09-18,Age,Open,Female,Match 2,,Singles,Quarter Finals,Fedcup,,,USA,,F,"Pegula, Jessica",,2ee83e7a-640d-4eda-9d65-c075afdec496,,,,,,,,,,"6-4, 6-1;",Shenzhen,"China, P.R.",CHN,09/21/2025,Pro Circuit,,Team Match,Shenzhen Bay Sports Centre Arena - Shenzhen,,Outdoor,Finals - Kazakhstan vs USA,ITF,09/16/2025,,,https://www.billiejeankingcup.com/en/tie/70a40cbf-ded1-4f4f-9dd7-4d2b0e8d0665,,,Kazakhstan,,F,"Rybakina, Elena",,0a6de07d-d3c2-45cb-99ac-1cb31ab3e6e2,,,,,,,,
bb84cfa6-0735-42b0-b69f-da8955a15efe,adb31e18-2aa7-41fe-a51a-0861b37f879d,2025-09-18,Age,Open,Female,Match 1,,Singles,Quarter Finals,Fedcup,,,Japan,,F,"Shibahara, Ena",,07654cec-f797-4336-b942-363463f3bf10,,,,,,,,,,"6-3, 7-6(4);",Shenzhen,"China, P.R.",CHN,09/21/2025,Pro Circuit,,Team Match,Shenzhen Bay Sports Centre Arena - Shenzhen,,Outdoor,Finals - Japan vs Great Britain,ITF,09/16/2025,,,https://www.billiejeankingcup.com/en/tie/bb84cfa6-0735-42b0-b69f-da8955a15efe,,,Great Britain,,F,"Kartal, Sonay",,50c69968-677e-435f-84c1-1b07e5338db2,,,,,,,,
bb84cfa6-0735-42b0-b69f-da8955a15efe,cc8c76b3-4d47-4722-961e-039106272a3e,2025-09-18,Age,Open,Female,Match 2,,Singles,Quarter Finals,Fedcup,,,Japan,,F,"Uchijima, Moyuka",,309bc813-ee2e-42a4-af71-b528efaf5abf,,,,,,,,,,"6-2, 6-1;",Shenzhen,"China, P.R.",CHN,09/21/2025,Pro Circuit,,Team Match,Shenzhen Bay Sports Centre Arena - Shenzhen,,Outdoor,Finals - Japan vs Great Britain,ITF,09/16/2025,,,https://www.billiejeankingcup.com/en/tie/bb84cfa6-0735-42b0-b69f-da8955a15efe,,,Great Britain,,F,"Boulter, Katie",,47f71ecc-9419-464f-bf77-8a9ddb79ca6a,,,,,,,,
87782010-65e1-483d-badc-71b8b653ccff,42d96074-08b9-4e79-8cb1-2c4199b9ef98,2025-09-19,Age,Open,Female,Match 2,,Singles,Semi Finals,Fedcup,,,Ukraine,,F,"Svitolina, Elina",,bf60961d-90ab-4191-be3f-f34738e76049,,,,,,,,,,"3-6, 6-4, 6-4;",Shenzhen,"China, P.R.",CHN,09/21/2025,Pro Circuit,,Team Match,Shenzhen Bay Sports Centre Arena - Shenzhen,,Outdoor,Finals - Italy vs Ukraine,ITF,09/16/2025,,,https://www.billiejeankingcup.com/en/tie/87782010-65e1-483d-badc-71b8b653ccff,,,Italy,,F,"Paolini, Jasmine",,cdf10463-8f6b-461b-9565-529653648dbe,,,,,,,,
87782010-65e1-483d-badc-71b8b653ccff,79832746-c966-41b0-a9b4-c92cb19ec0ec,2025-09-19,Age,Open,Female,Match 3,,Doubles,Semi Finals,Fedcup,,,Ukraine,,F,"Kostyuk, Marta",,2ed92037-ea71-4bc9-80e1-c4b93a8ef554,,,Ukraine,,F,"Kichenok, Lyudmyla",,6ee8aa4e-76fe-44d8-bfbe-25a33762c918,,"6-2, 6-3;",Shenzhen,"China, P.R.",CHN,09/21/2025,Pro Circuit,,Team Match,Shenzhen Bay Sports Centre Arena - Shenzhen,,Outdoor,Finals - Italy vs Ukraine,ITF,09/16/2025,,,https://www.billiejeankingcup.com/en/tie/87782010-65e1-483d-badc-71b8b653ccff,,,Italy,,F,"Errani, Sara",,6fd644c9-d82c-40ed-8675-c63a6b320cc7,,,Italy,,F,"Paolini, Jasmine",,cdf10463-8f6b-461b-9565-529653648dbe
87782010-65e1-483d-badc-71b8b653ccff,e60c29b5-50e3-4874-9a06-1100ee855918,2025-09-19,Age,Open,Female,Match 1,,Singles,Semi Finals,Fedcup,,,Italy,,F,"Cocciaretto, Elisabetta",,585a974d-7103-4168-8d63-690fd8dc9698,,,,,,,,,,"6-2, 6-3;",Shenzhen,"China, P.R.",CHN,09/21/2025,Pro Circuit,,Team Match,Shenzhen Bay Sports Centre Arena - Shenzhen,,Outdoor,Finals - Italy vs Ukraine,ITF,09/16/2025,,,https://www.billiejeankingcup.com/en/tie/87782010-65e1-483d-badc-71b8b653ccff,,,Ukraine,,F,"Kostyuk, Marta",,2ed92037-ea71-4bc9-80e1-c4b93a8ef554,,,,,,,,
4e5750fb-fe64-411a-bbb7-1e8854aacbc1,5f54e141-5b4d-4c73-8152-5d8ca7f92eaa,2025-09-20,Age,Open,Female,Match 2,,Singles,Semi Finals,Fedcup,,,Great Britain,,F,"Boulter, Katie",,47f71ecc-9419-464f-bf77-8a9ddb79ca6a,,,,,,,,,,"3-6, 6-4, 6-2;",Shenzhen,"China, P.R.",CHN,09/21/2025,Pro Circuit,,Team Match,Shenzhen Bay Sports Centre Arena - Shenzhen,,Outdoor,Finals - USA vs Great Britain,ITF,09/16/2025,,,https://www.billiejeankingcup.com/en/tie/4e5750fb-fe64-411a-bbb7-1e8854aacbc1,,,USA,,F,"Pegula, Jessica",,2ee83e7a-640d-4eda-9d65-c075afdec496,,,,,,,,
4e5750fb-fe64-411a-bbb7-1e8854aacbc1,dd8739b4-e4da-4f95-bf0f-81fa3a5fff3f,2025-09-20,Age,Open,Female,Match 1,,Singles,Semi Finals,Fedcup,,,Great Britain,,F,"Kartal, Sonay",,50c69968-677e-435f-84c1-1b07e5338db2,,,,,,,,,,"3-6, 6-4, 6-3;",Shenzhen,"China, P.R.",CHN,09/21/2025,Pro Circuit,,Team Match,Shenzhen Bay Sports Centre Arena - Shenzhen,,Outdoor,Finals - USA vs Great Britain,ITF,09/16/2025,,,https://www.billiejeankingcup.com/en/tie/4e5750fb-fe64-411a-bbb7-1e8854aacbc1,,,USA,,F,"Navarro, Emma",,99ca7017-6e61-447d-815c-853a2f2462f7,,,,,,,,
